Youtuber,Subscribers,Video Views,Uploads,Category,Country,Abbreviation,Lowest Monthly Earnings,Highest Monthly Earnings,Gross Tertiary Education Enrollment (%),Unemployment Rate,Population,Urban Population,Created Year
T-Series,245000000,228000000000,20082,Music,India,IN,564600.0,9000000.0,28.1,5.36,1366417754,471031528,2006
MrBeast,166000000,28368841870,741,Entertainment,United States,US,337000.0,5400000.0,88.2,14.7,328239523,270663028,2012
Cocomelon - Nursery Rhymes,162000000,164000000000,966,Education,United States,US,493800.0,7900000.0,88.2,14.7,328239523,270663028,2006
SET India,159000000,148000000000,116536,Shows,India,IN,455900.0,7300000.0,28.1,5.36,1366417754,471031528,2006
Kids Diana Show,112000000,93247040539,1111,People & Blogs,United States,US,182900.0,2900000.0,88.2,14.7,328239523,270663028,2015
PewDiePie,111000000,29058044447,4716,Gaming,Japan,JP,9800.0,156700.0,63.2,2.29,126226568,115782416,2010
Like Nastya,106000000,90479060027,493,People & Blogs,Russia,RU,12200.0,195800.0,81.9,4.59,144373535,107683889,2016
Vlad and Niki,98900000,77180169894,574,Entertainment,United States,US,145100.0,2300000.0,88.2,14.7,328239523,270663028,2018
Zee Music Company,96700000,57856289381,8548,Music,India,IN,200900.0,3200000.0,28.1,5.36,1366417754,471031528,2014
WWE,96000000,77428473662,70127,Sports,United States,US,178700.0,2900000.0,88.2,14.7,328239523,270663028,2007
BLACKPINK,89800000,32144597566,543,People & Blogs,South Korea,KR,124700.0,2000000.0,94.3,4.15,51709098,42106719,2016
Goldmines,86900000,24118230580,1,Film & Animation,Other,Other,0.0,0.07,63.2,9.3,436369043,226156206,2006
Sony SAB,83000000,101000000000,71270,Shows,India,IN,414300.0,6600000.0,28.1,5.36,1366417754,471031528,2007
5-Minute Crafts,80100000,26236790209,1,Howto & Style,United Kingdom,GB,0.0,0.0,60.0,3.85,66834405,55908316,2020
BANGTANTV,75600000,20826993957,2281,Music,South Korea,KR,42100.0,673200.0,94.3,4.15,51709098,42106719,2012
Justin Bieber,71600000,30608119724,249,Music,Canada,CA,44100.0,705300.0,68.9,5.56,36991981,30628482,2007
HYBE LABELS,71300000,28634566938,1337,Music,South Korea,KR,149500.0,2400000.0,94.3,4.15,51709098,42106719,2008
Zee TV,70500000,73139054467,129204,Entertainment,India,IN,426800.0,6800000.0,28.1,5.36,1366417754,471031528,2005
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,2865,Education,United States,US,118300.0,1900000.0,88.2,14.7,328239523,270663028,2011
Canal KondZilla,66500000,36775585925,2572,Music,Brazil,BR,0.0,0.0,51.3,12.08,212559417,183241641,2012
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,633,Education,India,IN,105100.0,1700000.0,28.1,5.36,1366417754,471031528,2013
Shemaroo Filmi Gaane,65600000,28648024439,8502,Music,India,IN,63700.0,1000000.0,28.1,5.36,1366417754,471031528,2010
Colors TV,64600000,61510906457,112915,Shows,India,IN,296900.0,4800000.0,28.1,5.36,1366417754,471031528,2008
T-Series Bhakti Sagar,61000000,29533230328,13,Music,India,IN,0.0,0.04,28.1,5.36,1366417754,471031528,2018
Dude Perfect,59500000,16241549158,389,Sports,United States,US,35300.0,564800.0,88.2,14.7,328239523,270663028,2009
Movieclips,59500000,59316472754,39113,Film & Animation,United States,US,28700.0,458700.0,88.2,14.7,328239523,270663028,2006
Tips Official,59300000,33431802698,4741,Music,India,IN,105700.0,1700000.0,28.1,5.36,1366417754,471031528,2007
El Reino Infantil,58400000,57271630846,1510,Music,Argentina,AR,153000.0,2400000.0,90.0,9.79,44938712,41339571,2011
Wave Music,58000000,40602020243,19487,Music,India,IN,58000.0,928100.0,28.1,5.36,1366417754,471031528,2014
Aaj Tak,57600000,25307753534,283775,News & Politics,India,IN,115300.0,1800000.0,28.1,5.36,1366417754,471031528,2009
Sony Music India,57200000,28837144516,3882,Music,India,IN,64800.0,1000000.0,28.1,5.36,1366417754,471031528,2009
EminemMusic,56900000,27073872856,156,Music,United States,US,65000.0,1000000.0,88.2,14.7,328239523,270663028,2007
Marshmello,56400000,14696003229,436,Entertainment,United States,US,28000.0,448400.0,88.2,14.7,328239523,270663028,2015
YRF,54600000,35302243691,3707,Film & Animation,India,IN,128000.0,2000000.0,28.1,5.36,1366417754,471031528,2006
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,11,Music,Other,Other,0.04,0.64,63.2,9.3,436369043,226156206,2016
Ed Sheeran,53500000,30367676736,383,Music,United Kingdom,GB,50700.0,810900.0,60.0,3.85,66834405,55908316,2006
Infobells - Hindi,53300000,30516172739,577,Education,India,IN,204000.0,3300000.0,28.1,5.36,1366417754,471031528,2014
Taylor Swift,52900000,29884657286,216,Music,United States,US,132100.0,2100000.0,88.2,14.7,328239523,270663028,2006
Ariana Grande,52700000,24004842608,147,Music,United States,US,40100.0,640900.0,88.2,14.7,328239523,270663028,2007
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,847,Education,United States,US,66700.0,1100000.0,88.2,14.7,328239523,270663028,2013
JuegaGerman,48100000,14631710289,2052,Gaming,Chile,CL,16600.0,265600.0,88.5,7.09,18952038,16610135,2013
Billie Eilish,47900000,13626331061,65,Music,United States,US,36700.0,587400.0,88.2,14.7,328239523,270663028,2013
Get Movies,47500000,30788679536,3322,Entertainment,Russia,RU,76600.0,1200000.0,81.9,4.59,144373535,107683889,2006
Shemaroo,47400000,22519705183,11451,Entertainment,India,IN,58200.0,931000.0,28.1,5.36,1366417754,471031528,2007
Badabun,46800000,19398045702,1,Entertainment,Other,Other,0.11,2.0,63.2,9.3,436369043,226156206,2007
SonyMusicIndiaVEVO,46600000,27286058807,3444,Music,United States,US,78600.0,1300000.0,88.2,14.7,328239523,270663028,2009
A4,46300000,22936630813,1,Gaming,Cuba,CU,0.02,0.38,41.4,1.64,11333483,8739135,2006
Bad Bunny,46100000,30686342319,1,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2005
Fernanfloo,46100000,10323391593,543,Gaming,El Salvador,SV,8500.0,135400.0,29.4,4.11,6453553,4694702,2011
Voot Kids,45500000,21388725229,4660,Entertainment,India,IN,58500.0,936000.0,28.1,5.36,1366417754,471031528,2016
Felipe Neto,45200000,16602198273,4331,Entertainment,Brazil,BR,32600.0,521400.0,51.3,12.08,212559417,183241641,2006
Voc,44700000,7828610828,1558,Entertainment,Brazil,BR,12000.0,192100.0,51.3,12.08,212559417,183241641,2013
HAR PAL GEO,44600000,41139050371,100755,Entertainment,Pakistan,PK,334300.0,5300000.0,9.0,4.45,216565318,79927762,2008
BRIGHT SIDE,44500000,10708531817,0,Howto & Style,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2005
Katy Perry,44200000,25458952022,128,Music,United States,US,33600.0,537000.0,88.2,14.7,328239523,270663028,2008
whinderssonnunes,44200000,4274709210,558,Comedy,Brazil,BR,6700.0,106700.0,51.3,12.08,212559417,183241641,2013
ABS-CBN Entertainment,44200000,50292540392,193890,People & Blogs,Philippines,PH,44200.0,706500.0,35.5,2.15,108116615,50975903,2008
Alan Walker,43700000,12884264778,8,Music,Thailand,TH,0.01,0.09,49.3,0.75,69625582,35294600,2006
HolaSoyGerman.,43600000,4831311245,6,Entertainment,Other,Other,0.0,0.02,63.2,9.3,436369043,226156206,2016
Shakira,43500000,27568757295,326,People & Blogs,Colombia,CO,88400.0,1400000.0,55.3,9.71,50339443,40827302,2005
ARY Digital HD,43200000,37939780685,109871,Entertainment,Pakistan,PK,287300.0,4600000.0,9.0,4.45,216565318,79927762,2016
Speed Records,42500000,26820902622,10938,Music,India,IN,39900.0,639000.0,28.1,5.36,1366417754,471031528,2012
Masha and The Bear,42400000,24519022988,1218,Shows,United States,US,167600.0,2700000.0,88.2,14.7,328239523,270663028,2014
Like Nastya Show,42400000,19547696190,618,Entertainment,United States,US,13300.0,212800.0,88.2,14.7,328239523,270663028,2017
Rihanna,41900000,22477745835,84,Entertainment,Barbados,BB,45700.0,731700.0,65.4,10.33,287025,89431,2005
Ishtar Music,41400000,17608931161,4510,Trailers,India,IN,45200.0,723800.0,28.1,5.36,1366417754,471031528,2005
Kimberly Loaiza,41300000,5603111948,291,People & Blogs,Mexico,MX,34200.0,547000.0,40.2,3.42,126014024,102626859,2016
Little Baby Bum - Nursery Rhymes & Kids Songs,40900000,39450824833,2423,Education,United States,US,24700.0,395100.0,88.2,14.7,328239523,270663028,2011
Luisito Comunica,40600000,8670473639,0,Comedy,Mexico,MX,0.0,0.0,40.2,3.42,126014024,102626859,2010
elrubiusOMG,40400000,7410536668,703,Gaming,Other,Other,1400.0,23100.0,63.2,9.3,436369043,226156206,2011
Toys and Colors,40300000,47005053156,4,Entertainment,Other,Other,0.0,0.02,63.2,9.3,436369043,226156206,2018
shfa2 -,39700000,23884824160,1596,People & Blogs,United Arab Emirates,AE,61900.0,990900.0,36.8,2.35,9770529,8479744,2017
LUCCAS NETO - LUCCAS TOON,39400000,22302547082,1,People & Blogs,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2021
CarryMinati,39200000,3294013141,186,Comedy,India,IN,19700.0,314800.0,28.1,5.36,1366417754,471031528,2014
XXXTENTACION,39200000,10507474316,133,Music,United States,US,14600.0,233400.0,88.2,14.7,328239523,270663028,2015
Super Simple Songs - Kids Songs,39200000,44900897958,744,Education,Canada,CA,140200.0,2200000.0,68.9,5.56,36991981,30628482,2006
Mikecrack,39100000,16118181673,1876,Gaming,Spain,ES,66000.0,1100000.0,88.9,13.96,47076781,37927409,2015
WorkpointOfficial,39000000,36131228583,72580,Entertainment,Thailand,TH,32600.0,521800.0,49.3,0.75,69625582,35294600,2012
GR6 EXPLODE,38900000,25154232306,3043,Music,Brazil,BR,408700.0,6500000.0,51.3,12.08,212559417,183241641,2014
TEDx Talks,38600000,7339333120,200933,Nonprofits & Activism,United States,US,11400.0,182600.0,88.2,14.7,328239523,270663028,2009
shfa,38400000,21528116909,982,People & Blogs,Saudi Arabia,SA,397.0,6400.0,68.0,5.93,34268528,28807838,2018
Goldmines Gaane Sune Ansune,38300000,16718192386,3532,Music,India,IN,203700.0,3300000.0,28.1,5.36,1366417754,471031528,2015
One Direction,38200000,13598903820,11,Music,United States,US,2.0,25.0,88.2,14.7,328239523,270663028,2016
TheEllenShow,38200000,22756581750,15672,Entertainment,United States,US,5500.0,87200.0,88.2,14.7,328239523,270663028,2006
Sony PAL,38200000,28519339489,24089,Shows,India,IN,104000.0,1700000.0,28.1,5.36,1366417754,471031528,2014
Daddy Yankee,38000000,22731415608,505,Music,United States,US,51400.0,822400.0,88.2,14.7,328239523,270663028,2011
Vlad v,37900000,23510152352,515,Other,United States,US,61000.0,976400.0,88.2,14.7,328239523,270663028,2018
Like Nastya ESP,37600000,18208196857,743,Entertainment,United States,US,80300.0,1300000.0,88.2,14.7,328239523,270663028,2017
one31,37500000,27262462114,117152,Entertainment,Thailand,TH,35200.0,563000.0,49.3,0.75,69625582,35294600,2013
Jkk Entertainment,37200000,16402066717,220,Comedy,India,IN,12500.0,199400.0,28.1,5.36,1366417754,471031528,2017
Maria Clara & JP,37000000,24188861917,744,People & Blogs,Brazil,BR,62900.0,1000000.0,51.3,12.08,212559417,183241641,2015
ABP NEWS,37000000,13102611515,301308,People & Blogs,India,IN,66800.0,1100000.0,28.1,5.36,1366417754,471031528,2012
Bruno Mars,36700000,19378155425,99,Music,United States,US,43800.0,701000.0,88.2,14.7,328239523,270663028,2006
Maroon 5,36600000,22553923546,171,Music,United States,US,38200.0,611300.0,88.2,14.7,328239523,270663028,2006
Ultra Bollywood,36600000,15653786446,9168,Trailers,India,IN,0.0,0.0,28.1,5.36,1366417754,471031528,2009
PowerKids TV,36500000,18961241905,5621,Film & Animation,Other,Other,79700.0,1300000.0,63.2,9.3,436369043,226156206,2014
YouTube,36300000,3010784935,744,News & Politics,United States,US,5300.0,84400.0,88.2,14.7,328239523,270663028,2005
Ozuna,36200000,23355801606,196,Music,Other,Other,42300.0,677000.0,63.2,9.3,436369043,226156206,2016
MrBeast Gaming,36100000,6331332547,5,Gaming,Other,Other,0.01,0.13,63.2,9.3,436369043,226156206,2011
La Granja de Zen,35700000,27118354077,654,Music,Argentina,AR,75500.0,1200000.0,90.0,9.79,44938712,41339571,2013
Saregama Music,35500000,15657673422,7566,Entertainment,India,IN,133400.0,2100000.0,28.1,5.36,1366417754,471031528,2013
IndiaTV,35500000,16105023749,273255,News & Politics,India,IN,72700.0,1200000.0,28.1,5.36,1366417754,471031528,2006
T-Series Bollywood Classics,35400000,22637783517,2010,Music,India,IN,82900.0,1300000.0,28.1,5.36,1366417754,471031528,2012
Total Gaming,35400000,5556364230,1,Gaming,Other,Other,0.01,0.21,63.2,9.3,436369043,226156206,2006
Markiplier,35200000,20297931219,5490,Gaming,United States,US,31800.0,509300.0,88.2,14.7,328239523,270663028,2012
Ryan's World,35200000,55299840198,2453,Entertainment,United States,US,59700.0,954500.0,88.2,14.7,328239523,270663028,2015
Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308,617,Education,United States,US,83800.0,1300000.0,88.2,14.7,328239523,270663028,2016
T-Series Apna Punjab,34600000,21306315429,0,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2020
Techno Gamerz,34400000,9690499664,1,Gaming,Other,Other,0.02,0.34,63.2,9.3,436369043,226156206,2010
Geet MP3,34300000,12746535822,679,Music,India,IN,25300.0,405400.0,28.1,5.36,1366417754,471031528,2016
J Balvin,34100000,23005313609,141,Music,Colombia,CO,32200.0,514800.0,55.3,9.71,50339443,40827302,2011
Jess No Limit,34000000,3963007415,2284,Entertainment,Indonesia,ID,136800.0,2200000.0,36.3,4.69,270203917,151509724,2017
Jingle Toons,34000000,11351015824,240,Film & Animation,India,IN,45000.0,719600.0,28.1,5.36,1366417754,471031528,2013
VEGETTA777,33800000,15432929204,7606,Gaming,Spain,ES,9800.0,156400.0,88.9,13.96,47076781,37927409,2008
Galinha Pintadinha,33800000,27274550757,66,Film & Animation,Brazil,BR,100900.0,1600000.0,51.3,12.08,212559417,183241641,2006
SSSniperWolf,33700000,23492684419,3366,Gaming,United States,US,52700.0,843800.0,88.2,14.7,328239523,270663028,2013
Desi Music Factory,33700000,10189027455,2,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2018
Selena Gomez,33600000,13013567335,188,Film & Animation,United States,US,28900.0,463200.0,88.2,14.7,328239523,270663028,2008
Rajshri,33500000,14864294792,3741,Music,India,IN,68100.0,1100000.0,28.1,5.36,1366417754,471031528,2006
Ch3Thailand,33500000,29611914495,96214,Entertainment,Thailand,TH,0.0,0.0,49.3,0.75,69625582,35294600,2014
KHANDESHI MOVIES,33500000,11405809704,217,Comedy,India,IN,6200.0,98900.0,28.1,5.36,1366417754,471031528,2013
CVS 3D Rhymes & Kids Songs,33400000,20269857567,338,Education,India,IN,34000.0,544300.0,28.1,5.36,1366417754,471031528,2008
NoCopyrightSounds,33400000,10530729078,1331,Music,United Kingdom,GB,13900.0,222600.0,60.0,3.85,66834405,55908316,2011
Ricis Official,33300000,5994136760,2736,People & Blogs,Indonesia,ID,39300.0,628400.0,36.3,4.69,270203917,151509724,2016
BabyBus - Kids Songs and Cartoons,32800000,26355088167,2122,Education,United States,US,31900.0,510000.0,88.2,14.7,328239523,270663028,2016
Eros Now Music,32700000,17853798780,1521,Entertainment,India,IN,5100.0,81100.0,28.1,5.36,1366417754,471031528,2012
BETER B,32700000,19180039918,2738,Other,Turkey,TR,365900.0,5900000.0,23.9,13.49,83429615,63097818,2012
DisneyMusicVEVO,32700000,28516250629,2068,Music,United States,US,82500.0,1300000.0,88.2,14.7,328239523,270663028,2010
The Weeknd,32600000,23379969006,169,Music,Canada,CA,93500.0,1500000.0,68.9,5.56,36991981,30628482,2011
WowKidz,32200000,16613441479,2,Film & Animation,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2006
KAROL G,32100000,18699145555,134,Music,Colombia,CO,116400.0,1900000.0,55.3,9.71,50339443,40827302,2013
Mr Bean,32100000,10602236110,3091,Shows,United Kingdom,GB,14100.0,226100.0,60.0,3.85,66834405,55908316,2006
rezendeevil,32100000,13061739758,11882,Gaming,Brazil,BR,11100.0,178000.0,51.3,12.08,212559417,183241641,2012
StarPlus,32000000,26800674545,44892,Entertainment,India,IN,416800.0,6700000.0,28.1,5.36,1366417754,471031528,2006
SMTOWN,31900000,27330239663,4158,Music,Other,Other,58400.0,933600.0,63.2,9.3,436369043,226156206,2006
GMA  Network,31900000,19428308461,93311,Entertainment,Philippines,PH,199600.0,3200000.0,35.5,2.15,108116615,50975903,2006
GENIAL,31800000,6762424690,6734,Howto & Style,Mexico,MX,7900.0,125800.0,40.2,3.42,126014024,102626859,2017
MR. INDIAN HACKER,31700000,5711208484,929,Science & Technology,India,IN,27300.0,436500.0,28.1,5.36,1366417754,471031528,2012
Worldwide Records Bhojpuri,31700000,16476978876,6518,Music,India,IN,28200.0,450600.0,28.1,5.36,1366417754,471031528,2012
DONA,31700000,21031745531,166,Entertainment,United States,US,38300.0,613100.0,88.2,14.7,328239523,270663028,2018
Dream,31700000,2930015381,116,Gaming,United States,US,6800.0,108100.0,88.2,14.7,328239523,270663028,2014
Lucas and Marcus,31600000,11615848291,1321,Entertainment,United States,US,78000.0,1200000.0,88.2,14.7,328239523,270663028,2011
JustinBieberVEVO,31600000,26583873105,204,Music,United States,US,26300.0,420500.0,88.2,14.7,328239523,270663028,2009
Luis Fonsi,31400000,15176762479,0,Entertainment,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2006
Peppa Pig - Official Channel,31400000,22919271731,3589,Film & Animation,United Kingdom,GB,61200.0,979700.0,60.0,3.85,66834405,55908316,2013
YOLO AVENTURAS,31200000,9673649438,65,People & Blogs,Venezuela,VE,0.9,14.0,79.3,8.8,28515829,25162368,2018
The Tonight Show Starring Jimmy Fallon,31200000,17111726160,8976,Comedy,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2006
TheDonato,31200000,6187804950,3027,Entertainment,Argentina,AR,47700.0,762700.0,90.0,9.79,44938712,41339571,2015
ImagineDragons,30700000,16793072362,92,Music,United States,US,47200.0,755300.0,88.2,14.7,328239523,270663028,2009
Diana and Roma ESP,30700000,12355992466,578,Other,United States,US,25700.0,412000.0,88.2,14.7,328239523,270663028,2016
Round2hell,30700000,3145161634,67,Comedy,India,IN,8000.0,127300.0,28.1,5.36,1366417754,471031528,2016
AboFlah,30500000,4521573939,641,Gaming,Kuwait,KW,39500.0,631600.0,54.4,2.18,4207083,4207083,2016
Zee News,30500000,16709857823,180092,News & Politics,India,IN,115400.0,1800000.0,28.1,5.36,1366417754,471031528,2007
Trap Nation,30400000,14037426379,2725,Music,United States,US,11500.0,183300.0,88.2,14.7,328239523,270663028,2012
AH,30400000,4332274962,2197,Entertainment,Indonesia,ID,5400.0,85800.0,36.3,4.69,270203917,151509724,2014
Boram Tube Vlog,30300000,13546549817,223,Entertainment,United States,US,5700.0,90900.0,88.2,14.7,328239523,270663028,2012
Adele,30200000,14199108016,15,Music,United Kingdom,GB,34300.0,548400.0,60.0,3.85,66834405,55908316,2008
Talking Tom,30200000,15199330166,2,Comedy,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2008
toyoraljanahtv,30200000,27684955537,3254,Entertainment,Jordan,JO,29100.0,465700.0,34.4,14.72,10101694,9213048,2008
Frost Diamond,30100000,7277493940,0,Gaming,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2006
Spinnin' Records,30100000,19607009165,11501,Music,Netherlands,NL,25000.0,400200.0,85.0,3.2,17332850,15924729,2007
Little Angel Nursery Rhymes & Kids Songs,30100000,22593193994,1349,Education,United States,US,26900.0,430100.0,88.2,14.7,328239523,270663028,2015
jacksepticeye,30100000,16246625836,5114,Gaming,Other,Other,10100.0,161700.0,63.2,9.3,436369043,226156206,2007
Shawn Mendes,30000000,12831200855,133,Music,Canada,CA,22200.0,355000.0,68.9,5.56,36991981,30628482,2011
ashish chanchlani vines,29800000,4457913639,151,Comedy,India,IN,6500.0,104700.0,28.1,5.36,1366417754,471031528,2009
Ultra Records,29600000,17208027242,4903,Music,United States,US,20500.0,327500.0,88.2,14.7,328239523,270663028,2006
Maluma,29300000,21226945136,14,Music,Argentina,AR,0.0,0.06,90.0,9.79,44938712,41339571,2015
AuronPlay,29200000,4079141673,404,Comedy,Spain,ES,3000.0,48600.0,88.9,13.96,47076781,37927409,2006
Zhong,29200000,14727238483,1513,Entertainment,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2015
Enaldinho,29200000,11627437847,3654,Comedy,Brazil,BR,75800.0,1200000.0,51.3,12.08,212559417,183241641,2012
Shorts Break,29000000,19466238065,42,Comedy,Other,Other,15.0,243.0,63.2,9.3,436369043,226156206,2021
infobells - Tamil,28900000,17930570614,555,Education,India,IN,27500.0,439300.0,28.1,5.36,1366417754,471031528,2014
Aditya Music India,28500000,25857994495,0,Music,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2010
The Late Late Show with James Corden,28400000,9956764048,5809,Entertainment,United States,US,6600.0,105700.0,88.2,14.7,328239523,270663028,2006
Aditya Movies,28400000,10062770060,5436,Movies,India,IN,56800.0,909400.0,28.1,5.36,1366417754,471031528,2012
Masha y el Oso,28300000,13577142726,6,Film & Animation,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2019
infobells - Telugu,28300000,14814192034,505,Education,India,IN,72000.0,1200000.0,28.1,5.36,1366417754,471031528,2014
HUM TV,28300000,23844936965,106983,Entertainment,Pakistan,PK,171200.0,2700000.0,9.0,4.45,216565318,79927762,2011
Shemaroo Movies,28200000,7600740993,3009,Entertainment,India,IN,46200.0,739900.0,28.1,5.36,1366417754,471031528,2011
Michael Jackson,28200000,14412474625,15,Music,United States,US,39600.0,634400.0,88.2,14.7,328239523,270663028,2005
Drake,28100000,15318895118,3,Music,Other,Other,0.01,0.12,63.2,9.3,436369043,226156206,2005
Goldmines Dishoom,28000000,8603468420,3878,Film & Animation,Other,Other,32300.0,516800.0,63.2,9.3,436369043,226156206,2016
Bounce Patrol - Kids Songs,27800000,21037851468,292,Music,Australia,AU,31900.0,509800.0,113.1,5.27,25766605,21844756,2013
Sandeep Maheshwari,27800000,2303069221,0,People & Blogs,Singapore,SG,0.0,0.0,84.8,4.11,5703569,5703569,2008
toycantando,27700000,15777682516,619,Music,Colombia,CO,43500.0,695300.0,55.3,9.71,50339443,40827302,2009
MrBeast 2,27500000,4552581106,27,People & Blogs,United States,US,0.0,0.0,88.2,14.7,328239523,270663028,2011
Wiz Khalifa,27500000,13379395501,682,Music,United States,US,22600.0,361800.0,88.2,14.7,328239523,270663028,2008
JYP Entertainment,27400000,19883150017,1753,Music,South Korea,KR,76900.0,1200000.0,94.3,4.15,51709098,42106719,2008
Kids Roma Show,27400000,10336420490,642,People & Blogs,United States,US,44000.0,703400.0,88.2,14.7,328239523,270663028,2015
DanTDM,27400000,19417887510,3664,Gaming,United Kingdom,GB,19700.0,314700.0,60.0,3.85,66834405,55908316,2012
Nick Jr.,27300000,22440611155,5438,Film & Animation,United States,US,10600.0,170200.0,88.2,14.7,328239523,270663028,2012
Crazy XYZ,27300000,7705492350,1259,Entertainment,India,IN,25600.0,408900.0,28.1,5.36,1366417754,471031528,2017
ToyPuddingTV,27100000,15916882228,2,Entertainment,Other,Other,0.0,0.06,63.2,9.3,436369043,226156206,2017
Dushyant kukreja,27100000,17318452893,889,Entertainment,India,IN,107400.0,1700000.0,28.1,5.36,1366417754,471031528,2015
Gulshan Kalra,27100000,12732444881,545,Howto & Style,Other,Other,125700.0,2000000.0,63.2,9.3,436369043,226156206,2018
Brent Rivera,27000000,6570935979,554,Comedy,United States,US,36100.0,577800.0,88.2,14.7,328239523,270663028,2009
Renato Garcia YT,26900000,7938616641,3956,Entertainment,Brazil,BR,20700.0,331600.0,51.3,12.08,212559417,183241641,2011
Netflix,26700000,7173668905,6471,Entertainment,United States,US,29600.0,472900.0,88.2,14.7,328239523,270663028,2012
enchufetv,26700000,10317306313,975,Comedy,Colombia,CO,6100.0,97500.0,55.3,9.71,50339443,40827302,2011
Beast Reacts,26700000,4388047013,241,People & Blogs,United States,US,69000.0,1100000.0,88.2,14.7,328239523,270663028,2016
Raffy Tulfo in Action,26500000,15065753455,10022,News & Politics,Philippines,PH,40800.0,652500.0,35.5,2.15,108116615,50975903,2016
WORLDSTARHIPHOP,26500000,20358117330,6873,Music,United States,US,22300.0,356400.0,88.2,14.7,328239523,270663028,2008
Goldmines Bollywood,26400000,8595760553,3622,Film & Animation,India,IN,24900.0,398700.0,28.1,5.36,1366417754,471031528,2015
Alan Chikin Chow,26400000,27006526665,865,Comedy,United States,US,261500.0,4200000.0,88.2,14.7,328239523,270663028,2020
PANDA BOI,26400000,17211600007,967,Entertainment,Italy,IT,306400.0,4900000.0,61.9,9.89,60297396,42651966,2020
BB Ki Vines,26300000,4749833967,190,Entertainment,India,IN,4300.0,69100.0,28.1,5.36,1366417754,471031528,2015
D Billions,26200000,31977463002,775,Other,United States,US,121800.0,1900000.0,88.2,14.7,328239523,270663028,2019
Junya.,26200000,16097531087,5985,Entertainment,Japan,JP,180500.0,2900000.0,63.2,2.29,126226568,115782416,2020
Smosh,26100000,10435474336,1619,Comedy,United States,US,17000.0,272600.0,88.2,14.7,328239523,270663028,2005
1MILLION Dance Studio,26100000,7886440199,0,Entertainment,Saudi Arabia,SA,0.0,0.0,68.0,5.93,34268528,28807838,2019
NichLmao,26000000,14101010609,868,People & Blogs,Other,Other,151600.0,2400000.0,63.2,9.3,436369043,226156206,2018
Beyonc,26000000,17308961985,240,Music,United States,US,13900.0,221800.0,88.2,14.7,328239523,270663028,2005
Mar,26000000,18597534412,1,Music,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2008
Indosiar,25900000,11372071889,65286,Music,Indonesia,ID,57500.0,920700.0,36.3,4.69,270203917,151509724,2013
VanossGaming,25800000,15541421838,1762,Gaming,Canada,CA,13700.0,219800.0,68.9,5.56,36991981,30628482,2011
LosPolinesios,25700000,7466926260,982,People & Blogs,Mexico,MX,7600.0,122000.0,40.2,3.42,126014024,102626859,2012
Nicki Minaj,25700000,10242981063,42,Music,United States,US,25900.0,414500.0,88.2,14.7,328239523,270663028,2013
David Guetta,25700000,17793809548,749,Music,United States,US,41100.0,656900.0,88.2,14.7,328239523,270663028,2009
Fede Vigevani,25600000,7962725960,0,Howto & Style,Other,Other,0.0,0.0,63.2,9.3,436369043,226156206,2019
TaylorSwiftVEVO,25600000,25592378292,287,Music,United States,US,79600.0,1300000.0,88.2,14.7,328239523,270663028,2009
ZHC,25500000,2726917087,5,Film & Animation,Other,Other,0.01,0.08,63.2,9.3,436369043,226156206,2006
Post Malone,25500000,14401218086,78,Music,United States,US,48900.0,782000.0,88.2,14.7,328239523,270663028,2011
Rans Entertainment,25400000,6430853035,3716,People & Blogs,Indonesia,ID,14600.0,233900.0,36.3,4.69,270203917,151509724,2015
LankyBox,25400000,34300482066,8775,Comedy,United States,US,203800.0,3300000.0,88.2,14.7,328239523,270663028,2016
Coldplay,25300000,17331663193,398,Music,United Kingdom,GB,49700.0,795500.0,60.0,3.85,66834405,55908316,2010
Las Ratitas,25200000,9602246828,4,People & Blogs,Other,Other,0.0,0.04,63.2,9.3,436369043,226156206,2019
WB Kids,25200000,11081602368,2025,People & Blogs,United States,US,35100.0,561300.0,88.2,14.7,328239523,270663028,2015
ABPLIVE,25200000,7968363381,12,People & Blogs,Other,Other,0.0,0.01,63.2,9.3,436369043,226156206,2014
The Lallantop,25200000,10409352249,51129,News & Politics,India,IN,68500.0,1100000.0,28.1,5.36,1366417754,471031528,2015
